,Year,Statistic,Name,Team,Value
779,1988,Shutouts,Roger Clemens,Boston,8
780,1988,Strikeouts,Roger Clemens,Boston,291
781,1988,Winning Percentage,Frank Viola,Minnesota,.774
782,1989,Complete Games,Bret Saberhagen,Kansas City,12
783,1989,ERA,Bret Saberhagen,Kansas City,2.16
784,1989,Games,Chuck Crim,Milwaukee,76
785,1989,Saves,Jeff Russell,Texas,38
786,1989,Shutouts,Bert Blyleven,California,5
787,1989,Strikeouts,Nolan Ryan,Texas,301
788,1989,Winning Percentage,Bret Saberhagen,Kansas City,.793
789,1990,Complete Games,Jack Morris,Detroit,11
790,1990,Complete Games,Dave Stewart,Oakland,11
791,1990,ERA,Roger Clemens,Boston,1.93
792,1990,Games,Bobby Thigpen,Chicago,77
793,1990,Saves,Bobby Thigpen,Chicago,57
794,1990,Shutouts,Roger Clemens,Boston,4
795,1990,Shutouts,Dave Stewart,Oakland,4
796,1990,Strikeouts,Nolan Ryan,Texas,269
797,1990,Winning Percentage,Bob Welch,Oakland,.818
798,1991,Complete Games,Jack McDowell,Chicago,15
799,1991,ERA,Roger Clemens,Boston,2.62
800,1991,Games,Duane Ward,Toronto,81
801,1991,Saves,Bryan Harvey,California,46
802,1991,Shutouts,Roger Clemens,Boston,4
803,1991,Strikeouts,Roger Clemens,Boston,241
804,1991,Winning Percentage,Scott Erickson,Minnesota,.714
805,1991,Wins,Scott Erickson,Minnesota,20
806,1991,Wins,Bill Gullickson,Detroit,20
807,1992,Complete Games,Jack McDowell,Chicago,13
808,1992,ERA,Roger Clemens,Boston,2.41
809,1992,Games,Kenny Rogers,Texas,81
810,1992,Saves,Dennis Eckersley,Oakland,51
811,1992,Shutouts,Roger Clemens,Boston,5
812,1992,Strikeouts,Randy Johnson,Seattle,241
813,1992,Winning Percentage,Mike Mussina,Baltimore,.783
814,1992,Wins,Kevin Brown,Texas,21
815,1993,Complete Games,Chuck Finley,California,13
816,1993,ERA,Kevin Appier,Kansas City,2.56
817,1993,Games,Greg Harris,Boston,80
818,1993,Saves,Jeff Montgomery,Kansas City,45
819,1993,Saves,Duane Ward,Toronto,45
820,1993,Shutouts,Jack McDowell,Chicago,4
821,1993,Strikeouts,Randy Johnson,Seattle,308
822,1993,Winning Percentage,Jimmy Key,New York,.750
823,1994,Complete Games,Randy Johnson,Seattle,9
824,1994,ERA,Steve Ontiveros,Oakland,2.65
825,1994,Games,Bob Wickman,New York,53
826,1994,Saves,Lee Smith,Baltimore,33
827,1994,Shutouts,Randy Johnson,Seattle,4
828,1994,Strikeouts,Randy Johnson,Seattle,204
829,1994,Winning Percentage,Jason Bere,Chicago,.857
830,1995,Complete Games,Jack McDowell,New York,8
831,1995,ERA,Randy Johnson,Seattle,2.48
832,1995,Games,Jesse Orosco,Baltimore,65
833,1995,Saves,Jose Mesa,Cleveland,46
834,1995,Shutouts,Mike Mussina,Baltimore,4
835,1995,Strikeouts,Randy Johnson,Seattle,294
836,1995,Winning Percentage,Randy Johnson,Seattle,.900
837,1996,Complete Games,Pat Hentgen,Toronto,10
838,1996,ERA,Juan Guzman,Toronto,2.93
839,1996,Games,Eddie Guardado,Minnesota,83
840,1996,Games,Mike Myers,Detroit,83
841,1996,Saves,John Wetteland,New York,43
842,1996,Shutouts,Pat Hentgen,Toronto,3
843,1996,Shutouts,Ken Hill,Texas,3
844,1996,Shutouts,Rich Robertson,Minnesota,3
845,1996,Strikeouts,Roger Clemens,Boston,257
846,1996,Winning Percentage,Charles Nagy,Cleveland,.773
847,1997,Complete Games,Roger Clemens,Toronto,9
848,1997,Complete Games,Pat Hentgen,Toronto,9
849,1997,ERA,Roger Clemens,Toronto,2.05
850,1997,Games,Mike Myers,Detroit,88
851,1997,Saves,Randy Myers,Baltimore,45
852,1997,Shutouts,Roger Clemens,Toronto,3
853,1997,Shutouts,Pat Hentgen,Toronto,3
854,1997,Strikeouts,Roger Clemens,Toronto,292
855,1997,Winning Percentage,Randy Johnson,Seattle,.833
856,1998,Complete Games,Scott Erickson,Baltimore,11
857,1998,ERA,Roger Clemens,Toronto,2.65
858,1998,Games,Sean Runyan,Detroit,88
859,1998,Saves,Tom Gordon,Boston,46
860,1998,Shutouts,David Wells,New York,5
861,1998,Strikeouts,Roger Clemens,Toronto,271
862,1998,Winning Percentage,David Wells,New York,.818
863,1998,Wins,Roger Clemens,Toronto,20
864,1998,Wins,David Cone,New York,20
865,1999,Complete Games,David Wells,Toronto,7
866,1999,ERA,Pedro Martinez,Boston,2.07
867,1999,Games,Buddy Groom,Oakland,76
868,1999,Games,Bob Wells,Minnesota,76
869,1999,Saves,Mariano Rivera,New York,45
870,1999,Shutouts,Scott Erickson,Baltimore,3
871,1999,Strikeouts,Pedro Martinez,Boston,313
872,1999,Winning Percentage,Pedro Martinez,Boston,.852
873,2000,Complete Games,David Wells,Toronto,9
874,2000,ERA,Pedro Martinez,Boston,1.74
875,2000,Games,Kelly Wunsch,Chicago,83
876,2000,Saves,Todd Jones,Detroit,42
877,2000,Saves,Derek Lowe,Boston,42
878,2000,Shutouts,Pedro Martinez,Boston,4
879,2000,Strikeouts,Pedro Martinez,Boston,284
880,2000,Winning Percentage,Tim Hudson,Oakland,.769
881,2000,Wins,Tim Hudson,Oakland,20
882,2001,Complete Games,Steve Sparks,Detroit,8
883,2001,ERA,Freddy Garcia,Seattle,3.05
884,2001,Games,Paul Quantrill,Toronto,80
885,2001,Saves,Mariano Rivera,New York,50
886,2001,Shutouts,Mark Mulder,Oakland,4
887,2001,Strikeouts,Hideo Nomo,Boston,220
888,2001,Winning Percentage,Roger Clemens,New York,.870
889,2002,Complete Games,Paul Byrd,Kansas City,7
890,2002,ERA,Pedro Martinez,Boston,2.26
891,2002,Games,Billy Koch,Oakland,84
892,2002,Saves,Eddie Guardado,Minnesota,45
893,2002,Shutouts,Jeff Weaver,New York,3
894,2002,Strikeouts,Pedro Martinez,Boston,239
895,2002,Winning Percentage,Pedro Martinez,Boston,.833
896,2003,Complete Games,Bartolo Colon,Chicago,9
897,2003,Complete Games,Roy Halladay,Toronto,9
898,2003,Complete Games,Mark Mulder,Oakland,9
899,2003,ERA,Pedro Martinez,Boston,2.22
900,2003,Games,Trever Miller,Toronto,79
901,2003,Saves,Keith Foulke,Oakland,43
902,2003,Shutouts,Roy Halladay,Toronto,2
903,2003,Shutouts,Tim Hudson,Oakland,2
904,2003,Shutouts,John Lackey,Anaheim,2
905,2003,Shutouts,Mark Mulder,Oakland,2
906,2003,Shutouts,Joel Pineiro,Seattle,2
907,2003,Strikeouts,Esteban Loaiza,Chicago,207
908,2003,Winning Percentage,Roy Halladay,Toronto,.759
909,2004,Complete Games,Mark Mulder,Oakland,5
910,2004,Complete Games,Sidney Ponson,Baltimore,5
911,2004,Complete Games,Jake Westbrook,Cleveland,5
912,2004,ERA,Johan Santana,Minnesota,2.61
913,2004,Games,Paul Quantrill,New York,86
914,2004,Saves,Mariano Rivera,New York,53
915,2004,Shutouts,Jeremy Bonderman,Detroit,2
916,2004,Shutouts,Tim Hudson,Oakland,2
917,2004,Shutouts,Sidney Ponson,Baltimore,2
918,2004,Strikeouts,Johan Santana,Minnesota,265
919,2004,Winning Percentage,Curt Schilling,Boston,.778
920,2005,Complete Games,Roy Halladay,Toronto,5
921,2005,ERA,Kevin Millwood,Cleveland,2.86
922,2005,Games,Mike Timlin,Boston,81
923,2005,Saves,Francisco Rodriguez,Los Angeles,45
924,2005,Saves,Bob Wickman,Cleveland,45
925,2005,Shutouts,Jon Garland,Chicago,3
926,2005,Strikeouts,Johan Santana,Minnesota,238
927,2005,Winning Percentage,Cliff Lee,Cleveland,.783
928,2006,Complete Games,CC Sabathia,Cleveland,6
929,2006,ERA,Johan Santana,Minnesota,2.77
930,2006,Games,Scott Proctor,New York,83
931,2006,Saves,Francisco Rodriguez,Los Angeles,47
932,2006,Shutouts,John Lackey,Los Angeles,2
933,2006,Shutouts,CC Sabathia,Cleveland,2
934,2006,Shutouts,Jeremy Sowers,Cleveland,2
935,2006,Shutouts,Jake Westbrook,Cleveland,2
936,2006,Strikeouts,Johan Santana,Minnesota,245
937,2006,Winning Percentage,Roy Halladay,Toronto,.762
938,2006,Wins,Johan Santana,Minnesota,19
939,2006,Wins,Chien-Ming Wang,New York,19
940,2007,Complete Games,Roy Halladay,Toronto,7
941,2007,ERA,John Lackey,Los Angeles,3.01
942,2007,Games,Jamie Walker,Baltimore,81
943,2007,Saves,Joe Borowski,Cleveland,45
944,2007,Shutouts,Paul Byrd,Cleveland,2
945,2007,Shutouts,Jose Contreras,Chicago,2
946,2007,Shutouts,John Lackey,Cleveland,2
947,2007,Shutouts,Jeff Weaver,Seattle,2
948,2007,Strikeouts,Scott Kazmir,Tampa Bay,239
949,2007,Winning Percentage,Justin Verlander,Detroit,.762
950,2007,Wins,Josh Beckett,Boston,20
951,2009,Complete Games,Roy Halladay,Toronto,9
952,2009,ERA,Zack Greinke,Kansas City,2.16
953,2009,Games,Matt Guerrier,Minnesota,79
954,2009,Saves,Brian Fuentes,Los Angeles,48
955,2009,Shutouts,Roy Halladay,Toronto,4
956,2009,Strikeouts,Justin Verlander,Detroit,269
957,2009,Winning Percentage,Felix Hernandez,Seattle,.792
958,2009,Wins,Felix Hernandez,Seattle,19
959,2009,Wins,C.C. Sabathia,New York,19
960,2010,Complete Games,Cliff Lee,Seattle / Texas,7
961,2010,Complete Games,Carl Pavano,Minnesota,7
962,2010,ERA,Felix Hernandez,Seattle,2.27
963,2010,Games,Randy Choate,Tampa Bay,85
964,2010,Saves,Rafael Soriano,Tampa Bay,45
965,2010,Shutouts,Dallas Braden,Oakland,2
966,2010,Shutouts,Carl Pavano,Minnesota,2
967,2010,Strikeouts,Jered Weaver,Los Angeles,233
968,2010,Winning Percentage,Tommy Hunter,Texas,.765
969,2010,Wins,C.C. Sabathia,New York,21
970,2011,Complete Games,James Shields,Tampa Bay,11
971,2011,ERA,Justin Verlander,Detroit,2.40
972,2011,Games,Jose Valverde,Detroit,75
973,2011,Saves,Jose Valverde,Detroit,49
974,2011,Shutouts,Derek Holland,Texas,4
975,2011,Shutouts,James Shields,Tampa Bay,4
976,2011,Strikeouts,Justin Verlander,Detroit,250
977,2011,Winning Percentage,Justin Verlander,Detroit,.828
978,2011,Wins,Justin Verlander,Detroit,24
979,2012,Complete Games,Justin Verlander,Detroit,6
980,2012,ERA,David Price,Tampa Bay,2.56
981,2012,Games,Boone Logan,New York,80
982,2012,Saves,Jim Johnson,Baltimore,51
983,2012,Shutouts,Felix Hernandez,Seattle,5
984,2012,Strikeouts,Justin Verlander,Detroit,239
985,2012,Winning Percentage,David Price,Tampa Bay,.800
986,2012,Winning Percentage,Jered Weaver,Los Angeles,.800
987,2012,Wins,David Price,Tampa Bay,20
988,2012,Wins,Jered Weaver,Los Angeles,20
989,2013,Complete Games,David Price,Tampa Bay,4
990,2013,Complete Games,Chris Sale,Chicago,4
991,2013,ERA,Anibal Sanchez,Detroit,2.57
992,2013,Games,Joel Peralta,Tampa Bay,80
993,2013,Saves,Jim Johnson,Baltimore,50
994,2013,Shutouts,Bartolo Colon,Oakland,3
995,2013,Shutouts,Justin Masterson,Cleveland,3
996,2013,Strikeouts,Yu Darvish,Texas,277
997,2013,Winning Percentage,Max Scherzer,Detroit,.875
998,2014,Complete Games,Dallas Keuchel,Houston,5
999,2014,ERA,Felix Hernandez,Seattle,2.14
1000,2014,Games,Bryan Shaw,Cleveland,80
1001,2014,Saves,Fernando Rodney,Seattle,48
1002,2014,Shutouts,Rick Porcello,Detroit,3
1003,2014,Strikeouts,David Price,Tampa Bay / Detroit,271
1004,2014,Winning Percentage,Max Scherzer,Detroit,.783
1005,2014,Wins,Corey Kluber,Texas,18
1006,2014,Wins,Max Scherzer,Detroit,18
1007,2014,Wins,Jered Weaver,Los Angeles,18
1008,2015,Complete Games,Mark Buehrle,Toronto,4
1009,2015,Complete Games,Corey Kluber,Cleveland,4
1010,2015,ERA,David Price,Detroit,2.45
1011,2015,ERA,David Price,Toronto,2.45
1012,2015,Games,Kevin Jepsen,Tampa Bay,75
1013,2015,Games,Kevin Jepsen,Minnesota,75
1014,2015,Saves,Brad Boxberger,Tampa Bay,41
1015,2015,Shutouts,Sonny Gray,Oakland,2
1016,2015,Shutouts,Felix Hernandez,Seattle,2
1017,2015,Shutouts,Dallas Keuchel,Houston,2
1018,2015,Shutouts,Mike Montgomery,Seattle,2
1019,2015,Shutouts,Jeff Samardzija,Chicago,2
1020,2015,Strikeouts,Chris Sale,Chicago,274
1021,2015,Winning Percentage,David Price,Detroit,.783
1022,2015,Winning Percentage,David Price,Toronto,.783
1023,2016,Complete Games,Chris Sale,Chicago,6
1024,2016,ERA,Aaron Sanchez,Toronto,3.00
1025,2016,Games,Bryan Shaw,Cleveland,75
1026,2016,Saves,Zach Britton,Baltimore,47
1027,2016,Shutouts,Corey Kluber,Cleveland,2
1028,2016,Strikeouts,Justin Verlander,Detroit,254
1029,2016,Winning Percentage,Aaron Sanchez,Toronto,.882
1030,2017,Complete Games,Corey Kluber,Cleveland Indians,5
1031,2017,Complete Games,Ervin Santana,Minnesota Twins,5
1032,2017,ERA,Corey Kluber,Cleveland Indians,2.25
1033,2017,Games,Bryan Shaw,Cleveland Indians,79
1034,2017,Saves,Alex Colome,Tampa Bay Rays,46
1035,2017,Shutouts,Corey Kluber,Cleveland Indians,3
1036,2017,Shutouts,Ervin Santana,Minnesota Twins,3
1037,2017,Strikeouts,Chris Sale,Boston Red Sox,308
1038,2017,Winning Percentage,Corey Kluber,Cleveland Indians,.818
1039,2017,Wins,Carlos Carrasco,Cleveland Indians,18
1040,2017,Wins,Corey Kluber,Cleveland Indians,18
1041,2017,Wins,Jason Vargas,Kansas City Royals,18
1042,2018,Complete Games,Jose Berrios,Minnesota Twins,2
1043,2018,Complete Games,Carlos Carrasco,Cleveland Indians,2
1044,2018,Complete Games,Corey Kluber,Cleveland Indians,2
1045,2018,Complete Games,James Paxton,Seattle Mariners,2
1046,2018,ERA,Blake Snell,Tampa Bay Rays,1.89
1047,2018,Games,Ryan Pressly,Minnesota Twins,77
1048,2018,Games,Ryan Pressly,Houston Astros,77
1049,2018,Saves,Edwin Diaz,Seattle Mariners,57
1050,2018,Shutouts,Jose Berrios,Minnesota Twins,1
1051,2018,Shutouts,Mike Clevinger,Cleveland Indians,1
1052,2018,Shutouts,Gerrit Cole,Houston Astros,1
1053,2018,Shutouts,Andrew Heaney,Los Angeles Angels,1
1054,2018,Shutouts,Corey Kluber,Cleveland Indians,1
1055,2018,Shutouts,Sean Manaea,Oakland Athletics,1
1056,2018,Shutouts,Daniel Mengden,Oakland Athletics,1
1057,2018,Shutouts,James Paxton,Seattle Mariners,1
1058,2018,Shutouts,Luis Severino,New York Yankees,1
1059,2018,Shutouts,Masahiro Tanaka,New York Yankees,1
1060,2018,Shutouts,Justin Verlander,Houston Astros,1
1061,2018,Strikeouts,Justin Verlander,Houston Astros,290
1062,2018,Winning Percentage,Charlie Morton,Houston Astros,.833
1063,2018,Wins,Blake Snell,Tampa Bay Rays,21
1064,2019,Complete Games,Shane Bieber,Cleveland Indians,3
1065,2019,Complete Games,Lucas Giolito,Chicago White Sox,3
1066,2019,ERA,Gerrit Cole,Houston Astros,2.50
1067,2019,Games,Yusmeiro Petit,Oakland Athletics,80
1068,2019,Saves,Roberto Osuna,Houston Astros,38
1069,2019,Shutouts,Shane Bieber,Cleveland Indians,2
1070,2019,Shutouts,Lucas Giolito,Chicago White Sox,2
1071,2019,Strikeouts,Gerrit Cole,Houston Astros,326
1072,2019,Winning Percentage,Gerrit Cole,Houston Astros,.800
1073,2020,Complete Games,Gerrit Cole,New York Yankees,2
1074,2020,ERA,Shane Bieber,Cleveland Indians,1.63
1075,2020,Games,Scott Barlow,Kansas City Royals,32
1076,2020,Saves,Brad Hand,Cleveland Indians,16
1077,2020,Shutouts,Gerrit Cole,New York Yankees,1
1078,2020,Shutouts,Kyle Gibson,Texas Rangers,1
1079,2020,Shutouts,Lucas Giolito,Chicago White Sox,1
1080,2020,Shutouts,Brad Keller,Kansas City Royals,1
1081,2020,Shutouts,Mike Minor,Oakland Athletics,1
1082,2020,Strikeouts,Shane Bieber,Cleveland Indians,122
1083,2020,Winning Percentage,Shane Bieber,Cleveland Indians,.889
1084,2020,Wins,Shane Bieber,Cleveland Indians,8
1085,2021,Complete Games,Gerrit Cole,New York Yankees,2
1086,2021,Complete Games,Sean Manaea,Oakland Athletics,2
1087,2021,ERA,Robbie Ray,Toronto Blue Jays,2.84
1088,2021,Games,Bryan Shaw,Cleveland Indians,81
1089,2021,Saves,Liam Hendriks,Chicago White Sox,38
1090,2021,Shutouts,Sean Manaea,Oakland Athletics,2
1091,2021,Strikeouts,Robbie Ray,Toronto Blue Jays,248
1092,2021,Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722
1093,2021,Wins,Gerrit Cole,New York Yankees,16
1094,2022,Complete Games,Framber Valdez,Houston Astros,3
1095,2022,ERA,Justin Verlander,Houston Astros,1.75
1096,2022,Games,Adam Cimber,Toronto Blue Jays,77
1097,2022,Games,Emmanuel Clase,Cleveland Guardians,77
1098,2022,Saves,Emmanuel Clase,Cleveland Guardians,42
1099,2022,Shutouts,Dylan Cease,Chicago White Sox,1
1100,2022,Shutouts,Nestor Cortes,New York Yankees,1
1101,2022,Shutouts,Reid Detmers,Los Angeles Angels,1
1102,2022,Shutouts,Nathan Eovaldi,Boston Red Sox,1
1103,2022,Shutouts,Dean Kremer,Baltimore Orioles,1
1104,2022,Shutouts,Martín Pérez,Texas Rangers,1
1105,2022,Shutouts,Patrick Sandoval,Los Angeles Angels,1
1106,2022,Shutouts,Framber Valdez,Houston Astros,1
1107,2022,Shutouts,Michael Wacha,Boston Red Sox,1
1108,2022,Strikeouts,Corbin Burnes,Milwaukee Brewers,243
1109,2022,Winning Percentage,Justin Verlander,Houston Astros,.818
1110,2022,Wins,Justin Verlander,Houston Astros,18
1111,2023,Complete Games,Jordan Lyles,Kansas City Royals,3
1112,2023,ERA,Gerrit Cole,New York Yankees,2.63
1113,2023,Games,Matt Brash,Seattle Mariners,78
1114,2023,Saves,Emmanuel Clase,Cleveland Guardians,44
1115,2023,Shutouts,Gerrit Cole,New York Yankees,2
1116,2023,Shutouts,Framber Valdez,Houston Astros,2
1117,2023,Strikeouts,Kevin Gausman,Toronto Blue Jays,237
1118,2023,Winning Percentage,Gerrit Cole,New York Yankees,.789
1119,2023,Wins,Chris Bassitt,Toronto Blue Jays,16
1120,2023,Wins,Zach Eflin,Tampa Bay Rays,16
1121,2024,Complete Games,Kevin Gausman,Toronto,2
1122,2024,ERA,Tarik Skubal,Detroit,2.39
1123,2024,Games,T.J. McFarland,Oakland,79
1124,2024,Saves,Emmanuel Clase,Cleveland,47
1125,2024,Shutouts,Ronel Blanco,Houston,1
1126,2024,Shutouts,Joey Estes,Oakland,1
1127,2024,Shutouts,Kevin Gausman,Toronto,1
1128,2024,Shutouts,Tanner Houck,Boston,1
1129,2024,Shutouts,Keider Montero,Detroit,1
1130,2024,Strikeouts,Tarik Skubal,Detroit,228
1131,2024,Winning Percentage,Tarik Skubal,Detroit,.818
1132,2024,Wins,Tarik Skubal,Detroit,18
1133,2025,Complete Games,Tanner Bibee,Cleveland,2
1134,2025,Complete Games,Framber Valdez,Houston,2
1135,2025,ERA,Tarik Skubal,Detroit,2.21
1136,2025,Games,Brendon Little,Toronto,79
1137,2025,Saves,Carlos Estévez,Kansas City,42
1138,2025,Shutouts,Tanner Bibee,Cleveland,1
1139,2025,Shutouts,Garrett Crochet,Boston,1
1140,2025,Shutouts,Nathan Eovaldi,Texas,1
1141,2025,Shutouts,Kevin Gausman,Toronto,1
1142,2025,Shutouts,Tarik Skubal,Detroit,1
1143,2025,Strikeouts,Garrett Crochet,Boston,255
1144,2025,Winning Percentage,Max Fried,New York,.792
1145,2025,Wins,Max Fried,New York,19
